installment_no,installment_date,installment_amount
1,01-03-2021,19444.44
2,01-04-2021,19444.44
3,01-05-2021,19444.44
4,01-06-2021,19444.44
5,01-07-2021,19444.44
6,01-08-2021,19444.44
7,01-09-2021,19444.44
8,01-10-2021,19444.44
9,01-11-2021,19444.44
10,01-12-2021,19444.44
11,01-01-2022,19444.44
12,01-02-2022,19444.44
13,01-03-2022,19444.44
14,01-04-2022,19444.44
15,01-05-2022,19444.44
16,01-06-2022,19444.44
17,01-07-2022,19444.44
18,01-08-2022,19444.44
19,01-09-2022,19444.44
20,01-10-2022,19444.44
21,01-11-2022,19444.44
22,01-12-2022,19444.44
23,01-01-2023,19444.44
24,01-02-2023,19444.44
25,01-03-2023,19444.44
26,01-04-2023,19444.44
27,01-05-2023,19444.44
28,01-06-2023,19444.44
29,01-07-2023,19444.44
30,01-08-2023,19444.44
31,01-09-2023,19444.44
32,01-10-2023,19444.44
33,01-11-2023,19444.44
34,01-12-2023,19444.44
35,01-01-2024,19444.44
36,01-02-2024,19444.44
