Installment Serial,Installment Date,Installment Amount,
1,3/1/2021,19444.44444,
2,4/1/2021,19444.44444,
3,5/1/2021,19444.44444,
4,6/1/2021,19444.44444,
5,7/1/2021,19444.44444,
6,8/1/2021,19444.44444,
7,9/1/2021,19444.44444,
8,10/1/2021,19444.44444,
9,11/1/2021,19444.44444,
10,12/1/2021,19444.44444,
11,1/1/2022,19444.44444,
12,2/1/2022,19444.44444,
13,3/1/2022,19444.44444,
14,4/1/2022,19444.44444,
15,5/1/2022,19444.44444,
16,6/1/2022,19444.44444,
17,7/1/2022,19444.44444,
18,8/1/2022,19444.44444,
19,9/1/2022,19444.44444,
20,10/1/2022,19444.44444,
21,11/1/2022,19444.44444,
22,12/1/2022,19444.44444,
23,1/1/2023,19444.44444,
24,2/1/2023,19444.44444,
25,3/1/2023,19444.44444,
26,4/1/2023,19444.44444,
27,5/1/2023,19444.44444,
28,6/1/2023,19444.44444,
29,7/1/2023,19444.44444,
30,8/1/2023,19444.44444,
31,9/1/2023,19444.44444,
32,10/1/2023,19444.44444,
33,11/1/2023,19444.44444,
34,12/1/2023,19444.44444,
35,1/1/2024,19444.44444,
36,2/1/2024,19444.44444,
